category,file_name,header_correct,header_total,item_correct,item_total,document_all_correct
A_field_variation,L2_A_001.json,4,4,15,15,1
A_field_variation,L2_A_002.json,4,4,25,25,1
A_field_variation,L2_A_003.json,4,4,20,20,1
A_field_variation,L2_A_004.json,3,4,15,15,0
A_field_variation,L2_A_005.json,4,4,20,20,1
A_field_variation,L2_A_006.json,4,4,25,25,1
A_field_variation,L2_A_007.json,4,4,25,25,1
A_field_variation,L2_A_008.json,3,4,20,20,0
A_field_variation,L2_A_009.json,4,4,20,20,1
A_field_variation,L2_A_010.json,4,4,10,10,1
A_field_variation,L2_A_011.json,3,4,20,20,0
A_field_variation,L2_A_012.json,4,4,25,25,1
A_field_variation,L2_A_013.json,4,4,10,10,1
A_field_variation,L2_A_014.json,4,4,25,25,1
A_field_variation,L2_A_015.json,4,4,25,25,1
A_field_variation,L2_A_016.json,4,4,20,20,1
A_field_variation,L2_A_017.json,4,4,25,25,1
A_field_variation,L2_A_018.json,4,4,25,25,1
A_field_variation,L2_A_019.json,4,4,20,20,1
A_field_variation,L2_A_020.json,4,4,15,15,1
A_field_variation,L2_A_021.json,4,4,10,10,1
A_field_variation,L2_A_022.json,4,4,10,10,1
A_field_variation,L2_A_023.json,4,4,20,20,1
A_field_variation,L2_A_024.json,4,4,15,15,1
A_field_variation,L2_A_025.json,4,4,10,10,1
A_field_variation,L2_A_026.json,4,4,15,15,1
A_field_variation,L2_A_027.json,4,4,20,20,1
A_field_variation,L2_A_028.json,4,4,15,15,1
A_field_variation,L2_A_029.json,4,4,25,25,1
A_field_variation,L2_A_030.json,4,4,25,25,1
A_field_variation,L2_A_031.json,4,4,20,20,1
A_field_variation,L2_A_032.json,4,4,20,20,1
A_field_variation,L2_A_033.json,4,4,20,20,1
A_field_variation,L2_A_034.json,4,4,25,25,1
A_field_variation,L2_A_035.json,4,4,25,25,1
A_field_variation,L2_A_036.json,4,4,20,20,1
A_field_variation,L2_A_037.json,4,4,15,15,1
A_field_variation,L2_A_038.json,4,4,20,20,1
A_field_variation,L2_A_039.json,4,4,20,20,1
A_field_variation,L2_A_040.json,4,4,25,25,1
A_field_variation,L2_A_041.json,4,4,10,10,1
A_field_variation,L2_A_042.json,4,4,20,20,1
A_field_variation,L2_A_043.json,4,4,15,15,1
A_field_variation,L2_A_044.json,4,4,20,20,1
A_field_variation,L2_A_045.json,4,4,25,25,1
A_field_variation,L2_A_046.json,4,4,10,10,1
A_field_variation,L2_A_047.json,4,4,15,15,1
A_field_variation,L2_A_048.json,4,4,15,15,1
A_field_variation,L2_A_049.json,4,4,15,15,1
A_field_variation,L2_A_050.json,4,4,20,20,1
B_scattered_fields,L2_B_001.json,4,4,10,10,1
B_scattered_fields,L2_B_002.json,4,4,10,10,1
B_scattered_fields,L2_B_003.json,4,4,20,20,1
B_scattered_fields,L2_B_004.json,4,4,15,15,1
B_scattered_fields,L2_B_005.json,4,4,25,25,1
B_scattered_fields,L2_B_006.json,4,4,10,10,1
B_scattered_fields,L2_B_007.json,3,4,25,25,0
B_scattered_fields,L2_B_008.json,4,4,15,15,1
B_scattered_fields,L2_B_009.json,4,4,15,15,1
B_scattered_fields,L2_B_010.json,4,4,15,15,1
B_scattered_fields,L2_B_011.json,4,4,20,20,1
B_scattered_fields,L2_B_012.json,4,4,15,15,1
B_scattered_fields,L2_B_013.json,4,4,20,20,1
B_scattered_fields,L2_B_014.json,4,4,10,10,1
B_scattered_fields,L2_B_015.json,4,4,15,15,1
B_scattered_fields,L2_B_016.json,4,4,20,20,1
B_scattered_fields,L2_B_017.json,4,4,15,15,1
B_scattered_fields,L2_B_018.json,4,4,25,25,1
B_scattered_fields,L2_B_019.json,3,4,15,15,0
B_scattered_fields,L2_B_020.json,4,4,10,10,1
B_scattered_fields,L2_B_021.json,4,4,10,10,1
B_scattered_fields,L2_B_022.json,4,4,15,15,1
B_scattered_fields,L2_B_023.json,4,4,25,25,1
B_scattered_fields,L2_B_024.json,4,4,10,10,1
B_scattered_fields,L2_B_025.json,4,4,20,20,1
B_scattered_fields,L2_B_026.json,4,4,25,25,1
B_scattered_fields,L2_B_027.json,4,4,20,20,1
B_scattered_fields,L2_B_028.json,4,4,10,10,1
B_scattered_fields,L2_B_029.json,3,4,25,25,0
B_scattered_fields,L2_B_030.json,4,4,10,10,1
B_scattered_fields,L2_B_031.json,4,4,10,10,1
B_scattered_fields,L2_B_032.json,4,4,10,10,1
