file_name,version,category,error_field,level_type,item_index,gt_value,pred_value,ocr_text_path,prediction_path,ground_truth_path,suspected_error_type,notes
L2_A_011,v1_baseline,A,po_date,header,,2025-09-07,2025-07-09,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_A_011_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_A_011_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/A_field_variation/L2_A_011.json,date_ambiguity,
L2_B_002,v1_baseline,B,po_number,header,,PO-2026-2341,Po-2026-2341,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_002_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_002_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_002.json,ocr_char_confusion,
L2_B_007,v1_baseline,B,po_number,header,,PO-2025-9743,Po-2025-9743,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_007_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_007_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_007.json,ocr_char_confusion,
L2_B_007,v1_baseline,B,po_date,header,,2026-01-05,2026-05-01,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_007_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_007_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_007.json,date_ambiguity,
L2_B_010,v1_baseline,B,po_number,header,,PO-2024-3362,Po-2024-3362,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_010_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_010_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_010.json,ocr_char_confusion,
L2_B_012,v1_baseline,B,po_number,header,,PO-2026-9537,Po-2026-9537,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_012_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_012_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_012.json,ocr_char_confusion,
L2_B_013,v1_baseline,B,po_number,header,,PO-2024-5922,Po-2024-5922,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_013_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_013_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_013.json,ocr_char_confusion,
L2_B_014,v1_baseline,B,po_date,header,,2026-09-08,2026-08-09,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_014_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_014_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_014.json,date_ambiguity,
L2_B_015,v1_baseline,B,po_number,header,,PO-2026-4621,Po-2026-4621,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_015_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_015_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_015.json,ocr_char_confusion,
L2_B_016,v1_baseline,B,po_number,header,,PO-2026-4996,Po-2026-4996,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_016_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_016_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_016.json,ocr_char_confusion,
L2_B_017,v1_baseline,B,po_number,header,,PO-2025-8501,Po-2025-8501,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_017_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_017_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_017.json,ocr_char_confusion,
L2_B_018,v1_baseline,B,po_number,header,,PO-2026-9281,Po-2026-9281,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_018_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_018_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_018.json,ocr_char_confusion,
L2_B_018,v1_baseline,B,part_number,item,4,AX-830,AX-830j,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_018_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_018_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_018.json,structure_break,
L2_B_019,v1_baseline,B,po_number,header,,PO-2025-8015,Po-2025-8015,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_019_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_019_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_019.json,ocr_char_confusion,
L2_B_019,v1_baseline,B,po_date,header,,2024-12-05,2024-05-12,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_019_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_019_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_019.json,date_ambiguity,
L2_B_020,v1_baseline,B,po_number,header,,PO-2026-5402,Po-2026-5402,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_020_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_020_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_020.json,ocr_char_confusion,
L2_B_021,v1_baseline,B,po_date,header,,2024-04-09,2024-09-04,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_021_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_021_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_021.json,date_ambiguity,
L2_B_022,v1_baseline,B,po_number,header,,PO-2024-8032,Po-2024-8032,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_022_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_022_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_022.json,ocr_char_confusion,
L2_B_024,v1_baseline,B,po_number,header,,PO-2025-7895,Po-2025-7895,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_024_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_024_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_024.json,ocr_char_confusion,
L2_B_027,v1_baseline,B,po_number,header,,PO-2025-6362,Po-2025-6362,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_027_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_027_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_027.json,ocr_char_confusion,
L2_B_028,v1_baseline,B,po_number,header,,PO-2025-2391,Po-2025-2391,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_028_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_028_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_028.json,ocr_char_confusion,
L2_B_029,v1_baseline,B,line_amount,item,0,1539.72,1539.2,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_029_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_029_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_029.json,value_misalignment,
L2_B_030,v1_baseline,B,po_number,header,,PO-2024-2056,Po-2024-2056,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_030_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_030_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_030.json,ocr_char_confusion,
L2_B_033,v1_baseline,B,po_number,header,,PO-2025-3876,Po-2025-3876,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_033_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_033_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_033.json,ocr_char_confusion,
L2_B_034,v1_baseline,B,po_number,header,,PO-2025-8982,Po-2025-8982,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_034_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_034_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_034.json,ocr_char_confusion,
