file_name,raw_date_string,raw_date_line,baseline_po_date,corrected_po_date,changed,decision_reason
L2_A_001,2024-02-21,Order Date: 2024-02-21,2024-02-21,2024-02-21,False,direct_normalized_non_ambiguous
L2_A_002,,,2024-03-29,2024-03-29,False,keep_baseline_no_raw_date_found
L2_A_003,10/19/2026,Issued On: 10/19/2026,2026-10-19,2026-10-19,False,direct_normalized_non_ambiguous
L2_A_004,08/05/2024,Order Date: 08/05/2024,2024-08-05,2024-08-05,False,keep_baseline_ambiguous_no_doc_hint
L2_A_005,2024-09-04,Date Issued: 2024-09-04,2024-09-04,2024-09-04,False,direct_normalized_non_ambiguous
L2_A_006,2024-08-11,PO Date: 2024-08-11,2024-08-11,2024-08-11,False,direct_normalized_non_ambiguous
L2_A_007,2024-05-20,Date Issued: 2024-05-20,2024-05-20,2024-05-20,False,direct_normalized_non_ambiguous
L2_A_008,08/07/2024,Date: 08/07/2024,2024-08-07,2024-08-07,False,keep_baseline_ambiguous_no_doc_hint
L2_A_009,03/06/2025,Date Issued: 03/06/2025,2025-03-06,2025-03-06,False,keep_baseline_ambiguous_no_doc_hint
L2_A_010,,,2026-11-09,2026-11-09,False,keep_baseline_no_raw_date_found
L2_A_011,07/09/2025,Date Issued: 07/09/2025,2025-07-09,2025-07-09,False,keep_baseline_ambiguous_no_doc_hint
L2_A_012,,,2025-05-16,2025-05-16,False,keep_baseline_no_raw_date_found
L2_A_013,,,2025-04-25,2025-04-25,False,keep_baseline_no_raw_date_found
L2_A_014,2025-03-27,PO Date: 2025-03-27,2025-03-27,2025-03-27,False,direct_normalized_non_ambiguous
L2_A_015,,,2024-09-15,2024-09-15,False,keep_baseline_no_raw_date_found
L2_A_016,2026-06-11,Order Date: 2026-06-11,2026-06-11,2026-06-11,False,direct_normalized_non_ambiguous
L2_A_017,13/05/2025,PO Date: 13/05/2025,2025-05-13,2025-05-13,False,direct_normalized_non_ambiguous
L2_A_018,26/01/2024,PO Date: 26/01/2024,2024-01-26,2024-01-26,False,direct_normalized_non_ambiguous
L2_A_019,01/06/2024,Date Issued: 01/06/2024,2024-01-06,2024-01-06,False,keep_baseline_ambiguous_no_doc_hint
L2_A_020,,,2026-08-21,2026-08-21,False,keep_baseline_no_raw_date_found
L2_A_021,25/09/2024,Issued On: 25/09/2024,2024-09-25,2024-09-25,False,direct_normalized_non_ambiguous
L2_A_022,,,2026-02-24,2026-02-24,False,keep_baseline_no_raw_date_found
L2_A_023,2024-11-07,Issued On: 2024-11-07,2024-11-07,2024-11-07,False,direct_normalized_non_ambiguous
L2_A_024,,,2026-06-01,2026-06-01,False,keep_baseline_no_raw_date_found
L2_A_025,,,2025-08-27,2025-08-27,False,keep_baseline_no_raw_date_found
L2_A_026,,,2026-01-19,2026-01-19,False,keep_baseline_no_raw_date_found
L2_A_027,,,2024-08-26,2024-08-26,False,keep_baseline_no_raw_date_found
L2_A_028,13/02/2024,Date Issued: 13/02/2024,2024-02-13,2024-02-13,False,direct_normalized_non_ambiguous
L2_A_029,,,2024-08-20,2024-08-20,False,keep_baseline_no_raw_date_found
L2_A_030,2026-05-01,Date: 2026-05-01,2026-05-01,2026-05-01,False,direct_normalized_non_ambiguous
L2_A_031,,,2026-05-28,2026-05-28,False,keep_baseline_no_raw_date_found
L2_A_032,,,2025-07-13,2025-07-13,False,keep_baseline_no_raw_date_found
L2_A_033,,,2024-02-12,2024-02-12,False,keep_baseline_no_raw_date_found
L2_A_034,,,2025-10-09,2025-10-09,False,keep_baseline_no_raw_date_found
L2_A_035,15/01/2026,Date Issued: 15/01/2026,2026-01-15,2026-01-15,False,direct_normalized_non_ambiguous
L2_A_036,2024-06-07,PO Date: 2024-06-07,2024-06-07,2024-06-07,False,direct_normalized_non_ambiguous
L2_A_037,17/11/2026,PO Date: 17/11/2026,2026-11-17,2026-11-17,False,direct_normalized_non_ambiguous
L2_A_038,05/16/2026,Date: 05/16/2026,2026-05-16,2026-05-16,False,direct_normalized_non_ambiguous
L2_A_039,,,2024-05-18,2024-05-18,False,keep_baseline_no_raw_date_found
L2_A_040,,,2026-03-02,2026-03-02,False,keep_baseline_no_raw_date_found
L2_A_041,,,2026-07-10,2026-07-10,False,keep_baseline_no_raw_date_found
L2_A_042,12/12/2025,Issued On: 12/12/2025,2025-12-12,2025-12-12,False,keep_baseline_ambiguous_no_doc_hint
L2_A_043,,,2024-09-11,2024-09-11,False,keep_baseline_no_raw_date_found
L2_A_044,16/10/2026,Issued On: 16/10/2026,2026-10-16,2026-10-16,False,direct_normalized_non_ambiguous
L2_A_045,01/23/2025,Order Date: 01/23/2025,2025-01-23,2025-01-23,False,direct_normalized_non_ambiguous
L2_A_046,2025-02-11,Date Issued: 2025-02-11,2025-02-11,2025-02-11,False,direct_normalized_non_ambiguous
L2_A_047,,,2025-04-11,2025-04-11,False,keep_baseline_no_raw_date_found
L2_A_048,25/06/2025,PO Date: 25/06/2025,2025-06-25,2025-06-25,False,direct_normalized_non_ambiguous
L2_A_049,,,2025-07-10,2025-07-10,False,keep_baseline_no_raw_date_found
L2_A_050,03/17/2024,Order Date: 03/17/2024,2024-03-17,2024-03-17,False,direct_normalized_non_ambiguous
L2_B_001,,,2025-06-19,2025-06-19,False,keep_baseline_no_raw_date_found
L2_B_002,,,2026-12-12,2026-12-12,False,keep_baseline_no_raw_date_found
L2_B_003,23/09/2025,The issuance date for this order is 23/09/2025.,2025-09-23,2025-09-23,False,direct_normalized_non_ambiguous
L2_B_004,,,2026-05-18,2026-05-18,False,keep_baseline_no_raw_date_found
L2_B_005,04/30/2025,Please note that the order date is 04/30/2025.,2025-04-30,2025-04-30,False,direct_normalized_non_ambiguous
L2_B_006,,,2026-02-11,2026-02-11,False,keep_baseline_no_raw_date_found
L2_B_007,05/01/2026,Please note that the order date is 05/01/2026.,2026-05-01,2026-05-01,False,keep_baseline_ambiguous_no_doc_hint
L2_B_008,2024-10-08,This order was issued on 2024-10-08.,2024-10-08,2024-10-08,False,direct_normalized_non_ambiguous
L2_B_009,,,2024-06-10,2024-06-10,False,keep_baseline_no_raw_date_found
L2_B_010,03/26/2026,The issuance date for this order is 03/26/2026.,2026-03-26,2026-03-26,False,direct_normalized_non_ambiguous
L2_B_011,,,2025-08-27,2025-08-27,False,keep_baseline_no_raw_date_found
L2_B_012,,,2024-12-13,2024-12-13,False,keep_baseline_no_raw_date_found
L2_B_013,,,2025-10-18,2025-10-18,False,keep_baseline_no_raw_date_found
