category,file_name,section,item_index,field,ground_truth,prediction
A_field_variation,L2_A_004.json,header,,po_date,"""2024-08-05""","""2024-05-08"""
A_field_variation,L2_A_008.json,header,,po_date,"""2024-08-07""","""2024-07-08"""
A_field_variation,L2_A_011.json,header,,po_date,"""2025-09-07""","""2025-07-09"""
B_scattered_fields,L2_B_007.json,header,,po_date,"""2026-01-05""","""2026-05-01"""
B_scattered_fields,L2_B_019.json,header,,po_date,"""2024-12-05""","""2024-05-12"""
B_scattered_fields,L2_B_029.json,header,,po_date,"""2026-01-03""","""2026-03-01"""
B_scattered_fields,L2_B_045.json,header,,po_date,"""2024-01-10""","""2024-10-01"""
C_complex_items,L2_C_004.json,header,,po_date,"""2025-05-01""","""2025-01-05"""
C_complex_items,L2_C_005.json,header,,po_date,"""2026-10-01""","""2026-01-10"""
C_complex_items,L2_C_023.json,header,,po_date,"""2024-06-09""","""2024-09-06"""
D_noise_information,L2_D_012.json,header,,po_date,"""2024-09-06""","""2024-06-09"""
D_noise_information,L2_D_017.json,header,,po_date,"""2024-12-03""","""2024-03-12"""
D_noise_information,L2_D_030.json,header,,po_date,"""2026-07-01""","""2026-01-07"""
D_noise_information,L2_D_046.json,header,,po_date,"""2025-09-06""","""2025-06-09"""
E_mixed_complexity,L2_E_002.json,header,,po_date,"""2026-06-10""","""2026-10-06"""
E_mixed_complexity,L2_E_031.json,header,,po_date,"""2026-02-05""","""2026-05-02"""
